;pseudo_provisoire;adresse_cleaned;codepost;nom_commune_postal;longitude_ref;latitude_ref;requete;x;y;score;trust_score;street;city;pc_city;code_dept;address
6513;0931492S;5 CHEMIN DE MEAUX;93220;GAGNY;2.558450857205455;48.87822189413382;5 CHEMIN DE MEAUX 93220 GAGNY;2.558451;48.878222;0.7250677005347593;middle;5 VIEUX CHEMIN DE MEAUX;GAGNY;93220;93;5 VIEUX CHEMIN DE MEAUX 93220 GAGNY
6550;0441522R; RUE DE LA GIRONDE;44800;SAINT-HERBLAIN;-1.6127505561047564;47.21072580503508; RUE DE LA GIRONDE 44800 SAINT-HERBLAIN;-1.613985;47.210307;0.9613372727272727;high;RUE DE LA GIRONDE;SAINT-HERBLAIN;44800;44;RUE DE LA GIRONDE 44800 SAINT-HERBLAIN
6554;0730760E;3 PLACE DE L EGLISE;73203;ALBERTVILLE;6.390970389743636;45.67786915806447;3 PLACE DE L EGLISE 73203 ALBERTVILLE;6.397109;45.671151;0.4899967311411992;middle;3 PLACE DE CONFLANS;ALBERTVILLE;73200;73;3 PLACE DE CONFLANS 73200 ALBERTVILLE
6568;0681787Y; RUE DES PRES;68920;WINTZENHEIM;7.307206596658786;48.08527086483686; RUE DES PRES 68920 WINTZENHEIM;7.307206;48.085271;0.9638154545454545;high;RUE DES PRÉS;WINTZENHEIM;68920;68;RUE DES PRÉS 68920 WINTZENHEIM
6597;0440512T; RUE DE LA PIERRE;44220;COUËRON;-1.7183095380716324;47.21492041643548; RUE DE LA PIERRE 44220 COUËRON;-1.721037;47.217146;0.9707963636363636;high;RUE DE LA PIERRE;COUËRON;44220;44;RUE DE LA PIERRE 44220 COUËRON
6598;0620063G;224 BOULEVARD GAMBETTA;62104;CALAIS;1.843350109781972;50.946620266863945;224 BOULEVARD GAMBETTA 62104 CALAIS;3.295363;49.847406;0.5083286240786241;middle;BOULEVARD GAMBETTA;SAINT-QUENTIN;02100;02;BOULEVARD GAMBETTA 02100 SAINT-QUENTIN
6604;0381932U;10 PLACE DE LA MAIRIE;38950;SAINT-MARTIN-LE-VINOUX;5.716369603415387;45.20364896833118;10 PLACE DE LA MAIRIE 38950 SAINT-MARTIN-LE-VINOUX;5.70584;45.209027;0.94983;high;10 PLACE DE LA MAIRIE;SAINT-MARTIN-LE-VINOUX;38950;38;10 PLACE DE LA MAIRIE 38950 SAINT-MARTIN-LE-VINOUX
6679;0570888F; RUE DES ORCHIDEES;57500;SAINT-AVOLD;6.699579700385181;49.13049933826442; RUE DES ORCHIDEES 57500 SAINT-AVOLD;6.69965;49.131028;0.9551736363636363;high;RUE DES ORCHIDEES;SAINT-AVOLD;57500;57;RUE DES ORCHIDEES 57500 SAINT-AVOLD
6711;0411011B;23 RUE DES SAINTES MARIES;41034;BLOIS;1.3315594448051054;47.59316447112175;23 RUE DES SAINTES MARIES 41034 BLOIS;1.310811;47.646395;0.40614454545454537;middle;23 RUE DE BLOIS;MAROLLES;41330;41;23 RUE DE BLOIS 41330 MAROLLES
6729;0060162U; PLACE ;6800;CAGNES-SUR-MER;7.148269890309787;43.66383311887279; PLACE  6800 CAGNES-SUR-MER;7.145234;43.666896;0.5925032467532466;middle;PLACE GRIMALDI;CAGNES-SUR-MER;06800;06;PLACE GRIMALDI 06800 CAGNES-SUR-MER
6734;0340409K; RUE DES ECOLES;34700;LODÈVE;3.321939903689735;43.73050128290157; RUE DES ECOLES 34700 LODÈVE;3.322292;43.730622;0.9534299999999999;high;RUE DES ECOLES;LODÈVE;34700;34;RUE DES ECOLES 34700 LODÈVE
6738;0134030K;19 AVENUE ;13080;AIX-EN-PROVENCE;5.4309402716720045;43.52487833919435;19 AVENUE  13080 AIX-EN-PROVENCE;5.414759;43.485703;0.6093572727272727;middle;19 AVENUE FRANCOIS VIDAL;AIX-EN-PROVENCE;13080;13;19 AVENUE FRANCOIS VIDAL 13080 AIX-EN-PROVENCE
6742;0061599F; ROUTE DE SOSPEL;6500;MENTON;7.492799883691426;43.78808105277727; ROUTE DE SOSPEL 6500 MENTON;7.488105;43.799142;0.7961912987012986;middle;ROUTE DE SOSPEL;MENTON;06500;06;ROUTE DE SOSPEL 06500 MENTON
6757;0632052N;32 RUE DU CLOS FOUR;63000;CLERMONT-FERRAND;3.104970566199572;45.78987134163692;32 RUE DU CLOS FOUR 63000 CLERMONT-FERRAND;3.090254;45.774801;0.4997700185528757;middle;COURS SABLON;CLERMONT-FERRAND;63000;63;COURS SABLON 63000 CLERMONT-FERRAND
6764;0292047T;25 BOULEVARD DE LA REPUBLIQUE;29406;LANDIVISIAU;-4.08248944897845;48.50463012548733;25 BOULEVARD DE LA REPUBLIQUE 29406 LANDIVISIAU;-4.06194;48.507399;0.8025245454545453;middle;25 BOULEVARD DE LA RÉPUBLIQUE;LANDIVISIAU;29400;29;25 BOULEVARD DE LA RÉPUBLIQUE 29400 LANDIVISIAU
6788;0594950K;145 RUE DU 145 EME RI;59600;MAUBEUGE;3.976117909448894;50.27892559324433;145 RUE DU 145 EME RI 59600 MAUBEUGE;3.978061;50.278987;0.41173025078369907;middle;RÉSIDENCE IOS LA JOYEUSE RUE 145 RI;MAUBEUGE;59600;59;RÉSIDENCE IOS LA JOYEUSE RUE 145 RI 59600 MAUBEUGE
6802;0491303A;16 RUE FOULQUES NERRA;49510;BEAUPRÉAU-EN-MAUGES;-0.9017605304349312;47.22971593841454;16 RUE FOULQUES NERRA 49510 BEAUPRÉAU-EN-MAUGES;-0.869071;47.196827;0.531282404692082;middle;16 RUE DE LA BOUÈRE (JALLAIS);BEAUPRÉAU-EN-MAUGES;49510;49;16 RUE DE LA BOUÈRE (JALLAIS) 49510 BEAUPRÉAU-EN-MAUGES
6805;0341893Y; BOULEVARD JEAN MONNET;34301;AGDE;3.485270382415431;43.30225977237463; BOULEVARD JEAN MONNET 34301 AGDE;3.484814;43.302993;0.7688955371900826;middle;BOULEVARD JEAN MONNET;AGDE;34300;34;BOULEVARD JEAN MONNET 34300 AGDE
6824;0772735E; RUE DE LA FAISANDERIE;77290;MITRY-MORY;2.5820664041557237;48.95974836987296; RUE DE LA FAISANDERIE 77290 MITRY-MORY;2.582067;48.959748;0.7685526385809313;middle;AVENUE DE LA FAISANDERIE;MITRY-MORY;77290;77;AVENUE DE LA FAISANDERIE 77290 MITRY-MORY
6830;0133431J; AVENUE LACANAU;13700;MARIGNANE;5.24985016372324;43.40427373021167; AVENUE LACANAU 13700 MARIGNANE;5.231042;43.405174;0.8066918181818182;middle;AVENUE DE LACANAU;MARIGNANE;13700;13;AVENUE DE LACANAU 13700 MARIGNANE
6858;0132448R; QUARTIER BARRIOL;13200;ARLES;4.617870367687001;43.66799792750543; QUARTIER BARRIOL 13200 ARLES;4.610341;43.662915;0.48869545454545454;middle;CHEMIN DE BARRIOL;ARLES;13200;13;CHEMIN DE BARRIOL 13200 ARLES
6863;0620678A; RUE CHARLES DE MONTESQUIEU;62000;DAINVILLE;2.7364903167916816;50.286923947308935; RUE CHARLES DE MONTESQUIEU 62000 DAINVILLE;2.73628;50.286695;0.6461178048780488;middle;RUE MONTESQUIEU;DAINVILLE;62000;62;RUE MONTESQUIEU 62000 DAINVILLE
6872;0383494S;1 ALLEE MARTIN LUTHER KING;38320;EYBENS;5.750140411189965;45.14770685369583;1 ALLEE MARTIN LUTHER KING 38320 EYBENS;5.741261;45.16239;0.9491654545454544;high;1 ALLEE MARTIN LUTHER KING;EYBENS;38320;38;1 ALLEE MARTIN LUTHER KING 38320 EYBENS
6878;0410018X; ROUTE DE LA VALLEE DU LOIR;41100;VENDÔME;1.06534946216792;47.79255588303881; ROUTE DE LA VALLEE DU LOIR 41100 VENDÔME;1.049863;47.802665;0.5459770247933883;middle;ALLEE DE LA VARENNE;VENDÔME;41100;41;ALLEE DE LA VARENNE 41100 VENDÔME
6892;0291676P; RUE DU DOURIC;29500;ERGUÉ-GABÉRIC;-4.028480622566978;47.997236451800966; RUE DU DOURIC 29500 ERGUÉ-GABÉRIC;-4.028671;47.996975;0.9575263636363637;high;RUE DU DOURIC;ERGUÉ-GABÉRIC;29500;29;RUE DU DOURIC 29500 ERGUÉ-GABÉRIC
