;pseudo_provisoire;adresse_cleaned;codepost;nom_commune_postal;longitude_ref;latitude_ref;requete;x;y;score;trust_score;street;city;pc_city;code_dept;address
27;0420817K; CHEMIN DES TOURETTES;42100;SAINT-ETIENNE;4.264489434346834;45.444173019747936; CHEMIN DES TOURETTES 42100 SAINT-ETIENNE;4.402664;45.405116;0.5567954545454545;middle;CHEMIN DE LAYA;SAINT-ÉTIENNE;42100;42;CHEMIN DE LAYA 42100 SAINT-ÉTIENNE
144;0861184V;6 AVENUE DE PROVENCE;86500;MONTMORILLON;0.8524506762106738;46.418053697826615;6 AVENUE DE PROVENCE 86500 MONTMORILLON;0.852451;46.418054;0.9535645454545454;high;6 AVENUE DE PROVENCE;MONTMORILLON;86500;86;6 AVENUE DE PROVENCE 86500 MONTMORILLON
238;0572829R; RUE DES GRANDS BOIS;57700;HAYANGE;6.065559352994417;49.3169344657539; RUE DES GRANDS BOIS 57700 HAYANGE;6.067428;49.316888;0.9621481818181817;high;RUE DES GRANDS BOIS;HAYANGE;57700;57;RUE DES GRANDS BOIS 57700 HAYANGE
262;0580618G; PLACE ELSA TRIOLET;58160;IMPHY;3.2656897321516887;46.93041143688357; PLACE ELSA TRIOLET 58160 IMPHY;2.549019;48.943942;0.5352647335423196;middle;PLACE ELSA TRIOLET;SEVRAN;93270;93;PLACE ELSA TRIOLET 93270 SEVRAN
281;0442902R;3 RUE VASCO DE GAMA;44800;SAINT-HERBLAIN;-1.6242870576592536;47.22104759345568;3 RUE VASCO DE GAMA 44800 SAINT-HERBLAIN;-1.659157;47.208406;0.6040571074380164;middle;RUE DE LA GARE;SAINT-HERBLAIN;44800;44;RUE DE LA GARE 44800 SAINT-HERBLAIN
287;0011038Y; RUE DE L OUDAR;1170;GEX;6.067299973800585;46.33862560502472; RUE DE L OUDAR 1170 GEX;6.068436;46.338518;0.6999036363636364;middle;RUE DE OUDAR;GEX;01170;01;RUE DE OUDAR 01170 GEX
309;0110426D; RUE D AOSTE;11100;NARBONNE;3.017290087622277;43.193468062241365; RUE D AOSTE 11100 NARBONNE;3.018501;43.194774;0.9696963636363637;high;RUE D AOSTE;NARBONNE;11100;11;RUE D AOSTE 11100 NARBONNE
372;0370688X;63 RUE DU COLOMBIER;37074;TOURS;0.7028001280708099;47.41789701104892;63 RUE DU COLOMBIER 37074 TOURS;-1.16296;46.166087;0.39120475935828875;low;RUE COLOMBIER;LA ROCHELLE;17000;17;RUE COLOMBIER 17000 LA ROCHELLE
383;0791014Y;23 PLACE SAINT JEAN;79300;BRESSUIRE;-0.4941085182419597;46.84185678975175;23 PLACE SAINT JEAN 79300 BRESSUIRE;-0.494109;46.841857;0.9624663636363636;high;23 PLACE SAINT JEAN;BRESSUIRE;79300;79;23 PLACE SAINT JEAN 79300 BRESSUIRE
406;0342413N;1 PLACE SIMONE VEIL;34430;SAINT-JEAN-DE-VÉDAS;3.822195568629585;43.5807429100802;1 PLACE SIMONE VEIL 34430 SAINT-JEAN-DE-VÉDAS;3.833619;43.592204;0.5488405194805194;middle;1 RUE SIMONE SIGNORET;SAINT-JEAN-DE-VÉDAS;34430;34;1 RUE SIMONE SIGNORET 34430 SAINT-JEAN-DE-VÉDAS
442;0594421K; AVENUE DU CHATEAU;59590;RAISMES;3.4817096981351154;50.39531061556323; AVENUE DU CHATEAU 59590 RAISMES;3.520819;50.407594;0.7271442815249267;middle;RUE DU CHÂTEAU;RAISMES;59590;59;RUE DU CHÂTEAU 59590 RAISMES
461;0631129K;2 ALLEE DU COTEAU;63100;CLERMONT-FERRAND;3.102300448067586;45.77432142588411;2 ALLEE DU COTEAU 63100 CLERMONT-FERRAND;3.100411;45.807929;0.578501515151515;middle;2 RUE DU COTEAU DE LA CROIX;CLERMONT-FERRAND;63100;63;2 RUE DU COTEAU DE LA CROIX 63100 CLERMONT-FERRAND
469;0080048J;1 PLACE DU CHATEAU;8201;SEDAN;4.946929808230691;49.70306086966944;1 PLACE DU CHATEAU 8201 SEDAN;4.946932;49.703061;0.7220915584415585;middle;1 PLACE DU CHÂTEAU;SEDAN;08200;08;1 PLACE DU CHÂTEAU 08200 SEDAN
521;0250536X;1 RUE DE NORMANDIE;25200;GRAND-CHARMONT;6.821559863976512;47.535849922898805;1 RUE DE NORMANDIE 25200 GRAND-CHARMONT;6.820712;47.536464;0.9579727272727273;high;1 RUE DE NORMANDIE;GRAND-CHARMONT;25200;25;1 RUE DE NORMANDIE 25200 GRAND-CHARMONT
631;0681320R;13 AVENUE KENNEDY;68200;MULHOUSE;7.311452873941064;47.75196597785391;13 AVENUE KENNEDY 68200 MULHOUSE;7.333762;47.749354;0.6424326446280992;middle;13 AVENUE DU PRÉSIDENT KENNEDY;MULHOUSE;68200;68;13 AVENUE DU PRÉSIDENT KENNEDY 68200 MULHOUSE
677;0800196D; AVENUE DE BOURGOGNE;80000;AMIENS;2.325096415118756;49.88438196497664; AVENUE DE BOURGOGNE 80000 AMIENS;2.264354;49.908746;0.5305023923444976;middle;AVENUE DE LA GARE;AMIENS;80000;80;AVENUE DE LA GARE 80000 AMIENS
680;0381932U;10 PLACE DE LA MAIRIE;38950;SAINT-MARTIN-LE-VINOUX;5.716369603415387;45.20364896833118;10 PLACE DE LA MAIRIE 38950 SAINT-MARTIN-LE-VINOUX;5.70584;45.209027;0.94983;high;10 PLACE DE LA MAIRIE;SAINT-MARTIN-LE-VINOUX;38950;38;10 PLACE DE LA MAIRIE 38950 SAINT-MARTIN-LE-VINOUX
691;0940216Z;2 RUE LOUIS MAURICE;94100;SAINT-MAUR-DES-FOSSÉS;2.510789183588133;48.80042072765082;2 RUE LOUIS MAURICE 94100 SAINT-MAUR-DES-FOSSÉS;2.487891;48.801559;0.6463618181818181;middle;RUE MAURICE LAUZIÈRE;SAINT-MAUR-DES-FOSSÉS;94100;94;RUE MAURICE LAUZIÈRE 94100 SAINT-MAUR-DES-FOSSÉS
704;0132973L;1 CHEMIN DE SAINT DONAT;13100;AIX-EN-PROVENCE;5.451323168537902;43.539248822542085;1 CHEMIN DE SAINT DONAT 13100 AIX-EN-PROVENCE;5.452406;43.557884;0.8514090082644628;middle;CHEMIN DE SAINT-DONAT;AIX-EN-PROVENCE;13100;13;CHEMIN DE SAINT-DONAT 13100 AIX-EN-PROVENCE
731;0491236C;2 CHEMIN FONTAINE;49290;MAUGES-SUR-LOIRE;-0.8050796405841744;47.316173158279724;2 CHEMIN FONTAINE 49290 MAUGES-SUR-LOIRE;-0.772379;47.349143;0.49187034965034965;middle;2 RUE DES MAUGES;CHALONNES-SUR-LOIRE;49290;49;2 RUE DES MAUGES 49290 CHALONNES-SUR-LOIRE
782;0931195U;42 RUE DE LA PAIX;93000;BOBIGNY;2.4625423058013696;48.9080996768158;42 RUE DE LA PAIX 93000 BOBIGNY;2.440579;48.915192;0.9653627272727271;high;42 RUE DE LA PAIX;BOBIGNY;93000;93;42 RUE DE LA PAIX 93000 BOBIGNY
799;0596605J; RUE DARIUS MILHAUD;59650;VILLENEUVE-D'ASCQ;3.1412194963241777;50.62191403496861; RUE DARIUS MILHAUD 59650 VILLENEUVE-D'ASCQ;3.150064;50.640479;0.5630276437847866;middle;RUE DU CARILLON;VILLENEUVE-D ASCQ;59650;59;RUE DU CARILLON 59650 VILLENEUVE-D ASCQ
831;0131660J; QUARTIER ;13400;AUBAGNE;5.554520190084002;43.28913905222707; QUARTIER  13400 AUBAGNE;5.590634;43.327567;0.6834390909090909;middle;QUARTIER BAUME;AUBAGNE;13400;13;QUARTIER BAUME 13400 AUBAGNE
832;0610844L;100 RUE LABILLARDIERE;61000;ALENÇON;0.0973905727991395;48.430576492123;100 RUE LABILLARDIERE 61000 ALENÇON;0.082536;48.435322;0.5447647893569845;middle;100 RUE DE LANCREL;ALENÇON;61000;61;100 RUE DE LANCREL 61000 ALENÇON
837;0932115U;115 ROUTE DES PETITS PONTS;93290;TREMBLAY-EN-FRANCE;2.5736285046437746;48.96688565446974;115 ROUTE DES PETITS PONTS 93290 TREMBLAY-EN-FRANCE;2.573629;48.966886;0.9715899999999998;high;115 ROUTE DES PETITS PONTS;TREMBLAY-EN-FRANCE;93290;93;115 ROUTE DES PETITS PONTS 93290 TREMBLAY-EN-FRANCE
852;0070977Z;3 ROND POINT POINT DES ECOLES;7203;AUBENAS;4.394070596847391;44.61776027761238;3 ROND POINT POINT DES ECOLES 7203 AUBENAS;-2.31844;47.25468;0.4398994456762749;middle;ROND POINT DES ECOLES;PORNICHET;44380;44;ROND POINT DES ECOLES 44380 PORNICHET
861;0711161B;10 RUE DE NORMANDIE;71000;MÂCON;4.829154220009785;46.32114928418801;10 RUE DE NORMANDIE 71000 MÂCON;4.829154;46.321149;0.9660263636363636;high;10 RUE DE NORMANDIE;MÂCON;71000;71;10 RUE DE NORMANDIE 71000 MÂCON
863;0271634E;7 RUE DE LA GARE;27400;LOUVIERS;1.1760493108545604;49.21611645027766;7 RUE DE LA GARE 27400 LOUVIERS;1.176049;49.216116;0.9607881818181817;high;7 RUE DE LA GARE;LOUVIERS;27400;27;7 RUE DE LA GARE 27400 LOUVIERS
878;0370886M;17 AVENUE MADAME DE SEVIGNE;37200;TOURS;0.7029418268047233;47.36036854468535;17 AVENUE MADAME DE SEVIGNE 37200 TOURS;0.774366;47.396942;0.662120909090909;middle;17 AVENUE MADAME DE SEVIGNE;LA VILLE-AUX-DAMES;37700;37;17 AVENUE MADAME DE SEVIGNE 37700 LA VILLE-AUX-DAMES
890;0271633D;7 RUE DE LA GARE;27400;LOUVIERS;1.1760493108545604;49.21611645027766;7 RUE DE LA GARE 27400 LOUVIERS;1.176049;49.216116;0.9607881818181817;high;7 RUE DE LA GARE;LOUVIERS;27400;27;7 RUE DE LA GARE 27400 LOUVIERS
958;0132744M;  ;13340;ROGNAC;5.232541828646305;43.49644295775937;   13340 ROGNAC;5.221441;43.496377;0.9468436363636363;high;ROGNAC;ROGNAC;13340;13;ROGNAC
976;0711112Y;7 RUE SAINT GERMAIN;71400;AUTUN;4.295461875789683;46.949285450669954;7 RUE SAINT GERMAIN 71400 AUTUN;4.295462;46.949285;0.9581263636363635;high;7 RUE SAINT GERMAIN;AUTUN;71400;71;7 RUE SAINT GERMAIN 71400 AUTUN
993;0210014B;8 RUE DE SEINE;21402;CHÂTILLON-SUR-SEINE;4.5778102138924925;47.861905864527074;8 RUE DE SEINE 21402 CHÂTILLON-SUR-SEINE;2.267802;48.801273;0.48297600886917963;middle;8 RUE DE CHÂTILLON;CLAMART;92140;92;8 RUE DE CHÂTILLON 92140 CLAMART
999;0050010J; PLACE DE VERDUN;5010;GAP;6.074839737462087;44.56098044735989; PLACE DE VERDUN 5010 GAP;4.190523;43.569838;0.5459037154150198;middle;PLACE DE VERDUN;AIGUES-MORTES;30220;30;PLACE DE VERDUN 30220 AIGUES-MORTES
1010;0400770V;17 AVENUE NAPOLEON 1 ER;40990;SAINT-PAUL-LÈS-DAX;-1.080584250897525;43.72464334435537;17 AVENUE NAPOLEON 1 ER 40990 SAINT-PAUL-LÈS-DAX;-1.062523;43.723947;0.8210529013539651;middle;17 AVENUE NAPOLEÓN 1;SAINT-PAUL-LÈS-DAX;40990;40;17 AVENUE NAPOLEÓN 1 40990 SAINT-PAUL-LÈS-DAX
1023;0940504M;2 ALLEE DE LA COTE D OR;94000;CRÉTEIL;2.47215614311869;48.775998760988365;2 ALLEE DE LA COTE D OR 94000 CRÉTEIL;2.472156;48.775999;0.9642218181818181;high;2 ALLÉE DE LA CÔTE D OR;CRÉTEIL;94000;94;2 ALLÉE DE LA CÔTE D OR 94000 CRÉTEIL
1034;0440917H;6 RUE DU 8 MAI 1945;44230;SAINT-SÉBASTIEN-SUR-LOIRE;-1.503030278123113;47.206649962678185;6 RUE DU 8 MAI 1945 44230 SAINT-SÉBASTIEN-SUR-LOIRE;-1.502763;47.206695;0.7675904958677685;middle;6 RUE DU HUIT MAI 1945;SAINT-SÉBASTIEN-SUR-LOIRE;44230;44;6 RUE DU HUIT MAI 1945 44230 SAINT-SÉBASTIEN-SUR-LOIRE
1042;0010607E; PLACE FRANCOIS MITTERRAND;1300;BELLEY;5.6912197502067645;45.75468826065705; PLACE FRANCOIS MITTERRAND 1300 BELLEY;0.225409;49.146138;0.6200172027972028;middle;PLACE FRANÇOIS MITTERRAND;LISIEUX;14100;14;PLACE FRANÇOIS MITTERRAND 14100 LISIEUX
1076;0133822J; CHEMIN DU PUITS;13420;GÉMENOS;5.61787281633418;43.28476958119997; CHEMIN DU PUITS 13420 GÉMENOS;5.618959;43.284587;0.9592890909090909;high;CHEMIN DU PUITS;GÉMENOS;13420;13;CHEMIN DU PUITS 13420 GÉMENOS
1081;0310164K; ROUTE DE LASBORDES;31130;BALMA;1.498659828343395;43.608718822150095; ROUTE DE LASBORDES 31130 BALMA;1.49844;43.60826;0.6564988235294118;middle;AVENUE DE LASBORDES;BALMA;31130;31;AVENUE DE LASBORDES 31130 BALMA
1131;0441522R; RUE DE LA GIRONDE;44800;SAINT-HERBLAIN;-1.6127505561047564;47.21072580503508; RUE DE LA GIRONDE 44800 SAINT-HERBLAIN;-1.613985;47.210307;0.9613372727272727;high;RUE DE LA GIRONDE;SAINT-HERBLAIN;44800;44;RUE DE LA GIRONDE 44800 SAINT-HERBLAIN
1154;0870835K; RUE DE L ECOLE NORMALE;87000;LIMOGES;1.2820225196337214;45.81665523896056; RUE DE L ECOLE NORMALE 87000 LIMOGES;1.255763;45.831852;0.5439465734265734;middle;RUE DES ECOLES;LIMOGES;87000;87;RUE DES ECOLES 87000 LIMOGES
1180;0312038X;  ;31520;RAMONVILLE-SAINT-AGNE;1.48552955643002;43.54067682957758;   31520 RAMONVILLE-SAINT-AGNE;1.474116;43.544359;0.9477236363636363;high;RAMONVILLE-SAINT-AGNE;RAMONVILLE-SAINT-AGNE;31520;31;RAMONVILLE-SAINT-AGNE
1218;0682065A;15 RUE D AVIGNON;68100;MULHOUSE;7.326769076999684;47.75811311166706;15 RUE D AVIGNON 68100 MULHOUSE;7.326769;47.758113;0.7748936363636363;middle;15 RUE D AVIGNON;MULHOUSE;68200;68;15 RUE D AVIGNON 68200 MULHOUSE
1220;0340409K; RUE DES ECOLES;34700;LODÈVE;3.321939903689735;43.73050128290157; RUE DES ECOLES 34700 LODÈVE;3.322292;43.730622;0.9534299999999999;high;RUE DES ECOLES;LODÈVE;34700;34;RUE DES ECOLES 34700 LODÈVE
1242;0134030K;19 AVENUE ;13080;AIX-EN-PROVENCE;5.4309402716720045;43.52487833919435;19 AVENUE  13080 AIX-EN-PROVENCE;5.414759;43.485703;0.6093572727272727;middle;19 AVENUE FRANCOIS VIDAL;AIX-EN-PROVENCE;13080;13;19 AVENUE FRANCOIS VIDAL 13080 AIX-EN-PROVENCE
1252;0132704U; ROUTE PORT STLOUIS PLAN DU BOURG;13200;ARLES;4.619234174304179;43.66299527045855; ROUTE PORT STLOUIS PLAN DU BOURG 13200 ARLES;4.623058;43.675249;0.5301400000000001;middle;RUE PLAN DU BOURG;ARLES;13200;13;RUE PLAN DU BOURG 13200 ARLES
1270;0762065G; RUE DES ALPES;76800;SAINT-ETIENNE-DU-ROUVRAY;1.0700116150989114;49.39557762955016; RUE DES ALPES 76800 SAINT-ETIENNE-DU-ROUVRAY;1.070011;49.395578;0.959541818181818;high;RUE DES ALPES;SAINT-ÉTIENNE-DU-ROUVRAY;76800;76;RUE DES ALPES 76800 SAINT-ÉTIENNE-DU-ROUVRAY
1272;0890961L; AVENUE DE PROVENCE;89015;AUXERRE;3.5849191061776184;47.78535268850018; AVENUE DE PROVENCE 89015 AUXERRE;3.537001;47.800018;0.484917807486631;middle;AVENUE D AUXERRE;SAINT-GEORGES-SUR-BAULCHE;89000;89;AVENUE D AUXERRE 89000 SAINT-GEORGES-SUR-BAULCHE
1299;0594681T; RUE PATRICK ROY;59220;DENAIN;3.401889809151613;50.317699891695455; RUE PATRICK ROY 59220 DENAIN;3.399507;50.354306;0.5544497178683385;middle;RUE PATRICK ROY;HAVELUY;59255;59;RUE PATRICK ROY 59255 HAVELUY
1305;0301256C;98 RUE WEBER;30000;NÎMES;4.336951195062023;43.82222026362693;98 RUE WEBER 30000 NÎMES;4.334951;43.826241;0.7452218181818181;middle;98 RUE WEBER;NÎMES;30900;30;98 RUE WEBER 30900 NÎMES
1334;0491166B;23 RUE ;49700;DOUÉ-EN-ANJOU;-0.3664997418674567;47.19565179284864;23 RUE  49700 DOUÉ-EN-ANJOU;-0.367326;47.19572;0.692630909090909;middle;23 GRANDE RUE;DOUÉ-EN-ANJOU;49700;49;23 GRANDE RUE 49700 DOUÉ-EN-ANJOU
1343;0060162U; PLACE ;6800;CAGNES-SUR-MER;7.148269890309787;43.66383311887279; PLACE  6800 CAGNES-SUR-MER;7.145234;43.666896;0.5925032467532466;middle;PLACE GRIMALDI;CAGNES-SUR-MER;06800;06;PLACE GRIMALDI 06800 CAGNES-SUR-MER
1345;0831524F;1 RUE DU MOULIN 1 ER;83260;LA CRAU;6.097943154185772;43.149072652493565;1 RUE DU MOULIN 1 ER 83260 LA CRAU;6.062829;43.148601;0.5213761916461915;middle;RUE DU MERLE;LA CRAU;83260;83;RUE DU MERLE 83260 LA CRAU
1363;0491195H;12 RUE DU JOUSSELIN;49110;MONTREVAULT-SUR-EVRE;-0.961240073251667;47.24417631553899;12 RUE DU JOUSSELIN 49110 MONTREVAULT-SUR-EVRE;-0.985195;47.253552;0.5671754545454545;middle;12 RUE DU JOUSSELIN (LA SALLE-ET-CHAPELLE-AUBRY);MONTREVAULT-SUR-ÈVRE;49110;49;12 RUE DU JOUSSELIN (LA SALLE-ET-CHAPELLE-AUBRY) 49110 MONTREVAULT-SUR-ÈVRE
1367;0261207W;75 PLACE ELIE CESTER;26500;BOURG-LÈS-VALENCE;4.894630309294479;44.94703232293481;75 PLACE ELIE CESTER 26500 BOURG-LÈS-VALENCE;4.905727;44.958562;0.9610672727272727;high;75 PLACE ELIE CESTER;BOURG-LÈS-VALENCE;26500;26;75 PLACE ELIE CESTER 26500 BOURG-LÈS-VALENCE
1378;0831003P; PLACE SAINT JEAN;83700;SAINT-RAPHAËL;6.806999688010211;43.41651143489759; PLACE SAINT JEAN 83700 SAINT-RAPHAËL;6.807634;43.416612;0.7135247671840355;middle;ESPLANADE SAINT JEAN;SAINT-RAPHAËL;83700;83;ESPLANADE SAINT JEAN 83700 SAINT-RAPHAËL
1381;0130972L;5 BOULEVARD JOLIOT CURIE;13500;MARTIGUES;5.053999656380444;43.40951964007692;5 BOULEVARD JOLIOT CURIE 13500 MARTIGUES;5.070941;43.339798;0.6184348760330578;middle;5 ALLEE JOLIOT CURIE;MARTIGUES;13500;13;5 ALLEE JOLIOT CURIE 13500 MARTIGUES
1412;0660283Z; AVENUE PASTEUR;66130;ILLE-SUR-TÊT;2.6220557615976987;42.67132904879563; AVENUE PASTEUR 66130 ILLE-SUR-TÊT;2.622056;42.671329;0.9662172727272728;high;AVENUE PASTEUR;ILLE-SUR-TÊT;66130;66;AVENUE PASTEUR 66130 ILLE-SUR-TÊT
1414;0830521R; RUE DES COLVERTS;83400;HYÈRES;6.176930369203584;43.10707596448455; RUE DES COLVERTS 83400 HYÈRES;6.111622;43.08801;0.5836045454545453;middle;AVENUE DES COLIBRIS;HYÈRES;83400;83;AVENUE DES COLIBRIS 83400 HYÈRES
1452;0070351U; PLACE VOLTAIRE;7400;LE TEIL;4.682649686687876;44.551578737448544; PLACE VOLTAIRE 7400 LE TEIL;4.682849;44.551346;0.7772985714285714;middle;PLACE VOLTAIRE;LE TEIL;07400;07;PLACE VOLTAIRE 07400 LE TEIL
1457;0490129Z;2 RUE JEAN MOULIN;49450;SÈVREMOINE;-0.9933306057195088;47.12692768266485;2 RUE JEAN MOULIN 49450 SÈVREMOINE;-1.055602;47.088102;0.5463231707317073;middle;LE MOULIN (ROUSSAY);SÈVREMOINE;49450;49;LE MOULIN (ROUSSAY) 49450 SÈVREMOINE
1474;0501237Y; RUE DU SOISSONNAIS;50130;CHERBOURG-EN-COTENTIN;-1.6317803510636355;49.62854291949036; RUE DU SOISSONNAIS 50130 CHERBOURG-EN-COTENTIN;-1.635889;49.625263;0.6076799999999999;middle;RUE DU POITOU;CHERBOURG-EN-COTENTIN;50130;50;RUE DU POITOU 50130 CHERBOURG-EN-COTENTIN
1513;0951909J;8 RUE JULES FERRY;95360;MONTMAGNY;2.338939659700138;48.96445296387383;8 RUE JULES FERRY 95360 MONTMAGNY;2.333824;48.955805;0.9674709090909089;high;8 RUE JULES FERRY;MONTMAGNY;95360;95;8 RUE JULES FERRY 95360 MONTMAGNY
1520;0830210C;20 ALLEE DES DROITS DE L ENFANT;83130;LA GARDE;6.008750452563357;43.123547441312304;20 ALLEE DES DROITS DE L ENFANT 83130 LA GARDE;2.08367;48.721291;0.5356536363636364;middle;ALLEE DES DROITS DE L’ENFANT;MAGNY-LES-HAMEAUX;78114;78;ALLEE DES DROITS DE L’ENFANT 78114 MAGNY-LES-HAMEAUX
1523;0490780G; RUE MARET;49300;CHOLET;-0.8787595984219164;47.069848202473445; RUE MARET 49300 CHOLET;-0.87841;47.069658;0.7135509790209791;middle;RUE LÉON MARET;CHOLET;49300;49;RUE LÉON MARET 49300 CHOLET
1545;0132795T; RUE SAINT PIERRE;13480;CABRIÈS;5.380420226185232;43.44091229641627; RUE SAINT PIERRE 13480 CABRIÈS;5.381073;43.441073;0.9598054545454544;high;RUE SAINT PIERRE;CABRIÈS;13480;13;RUE SAINT PIERRE 13480 CABRIÈS
1619;0572829R; RUE DES GRANDS BOIS;57700;HAYANGE;6.065559352994417;49.3169344657539; RUE DES GRANDS BOIS 57700 HAYANGE;6.067428;49.316888;0.9621481818181817;high;RUE DES GRANDS BOIS;HAYANGE;57700;57;RUE DES GRANDS BOIS 57700 HAYANGE
1620;0451074Y;23 RUE CREUSE;45655;SAINT-JEAN-LE-BLANC;1.9361699803546704;47.88370477586063;23 RUE CREUSE 45655 SAINT-JEAN-LE-BLANC;1.936297;47.882909;0.7875009090909091;middle;23 RUE CREUSE;SAINT-JEAN-LE-BLANC;45650;45;23 RUE CREUSE 45650 SAINT-JEAN-LE-BLANC
1643;0741151Z;8 AVENUE JEAN CLERC;74000;ANNECY;6.097570299919354;45.88692134526877;8 AVENUE JEAN CLERC 74000 ANNECY;6.123332;45.897984;0.3973874418604651;low;PASSAGE DES CLERCS;ANNECY;74000;74;PASSAGE DES CLERCS 74000 ANNECY
1659;0491660N;38 RUE DES CHAMPS;49800;LOIRE-AUTHION;-0.4357804669307879;47.42001162385755;38 RUE DES CHAMPS 49800 LOIRE-AUTHION;-0.435759;47.420026;0.665171310782241;middle;38 CHEMIN DES CHAMPS;LOIRE-AUTHION;49800;49;38 CHEMIN DES CHAMPS 49800 LOIRE-AUTHION
1662;0694314P;4 RUE CRONSTADT;69007;LYON 7E  ARRONDISSEMENT;4.827745511132719;45.75243083379912;4 RUE CRONSTADT 69007 LYON 7E  ARRONDISSEMENT;4.849952;45.740876;0.49717818181818174;middle;RUE DE CRONSTADT;LYON;69007;69;RUE DE CRONSTADT 69007 LYON
1681;0820336V; CHEMIN DES FONTAINES;82100;CASTELSARRASIN;1.1175000196364364;44.03180994818892; CHEMIN DES FONTAINES 82100 CASTELSARRASIN;1.1175;44.03181;0.9615854545454545;high;CHEMIN DES FONTAINES;CASTELSARRASIN;82100;82;CHEMIN DES FONTAINES 82100 CASTELSARRASIN
1697;0781268E; BOULEVARD DU RHIN;78310;MAUREPAS;1.9412254445002328;48.77176604931303; BOULEVARD DU RHIN 78310 MAUREPAS;1.941225;48.771766;0.9536399999999999;high;BOULEVARD DU RHIN;MAUREPAS;78310;78;BOULEVARD DU RHIN 78310 MAUREPAS
1708;0491303A;16 RUE FOULQUES NERRA;49510;BEAUPRÉAU-EN-MAUGES;-0.9017605304349312;47.22971593841454;16 RUE FOULQUES NERRA 49510 BEAUPRÉAU-EN-MAUGES;-0.869071;47.196827;0.531282404692082;middle;16 RUE DE LA BOUÈRE (JALLAIS);BEAUPRÉAU-EN-MAUGES;49510;49;16 RUE DE LA BOUÈRE (JALLAIS) 49510 BEAUPRÉAU-EN-MAUGES
1720;0921531P;3 RUE LOUIS JEAN;92250;LA GARENNE-COLOMBES;2.234067122844014;48.90664709772598;3 RUE LOUIS JEAN 92250 LA GARENNE-COLOMBES;2.234067;48.906647;0.9590436363636363;high;3 RUE LOUIS JEAN;LA GARENNE-COLOMBES;92250;92;3 RUE LOUIS JEAN 92250 LA GARENNE-COLOMBES
1761;0830258E;11 BOULEVARD DU 11 NOVEMBRE;83100;TOULON;5.9473274651406;43.12202375905825;11 BOULEVARD DU 11 NOVEMBRE 83100 TOULON;5.947506;43.122212;0.8009628381374723;middle;11 BOULEVARD DU 11 NOVEMBRE;TOULON;83000;83;11 BOULEVARD DU 11 NOVEMBRE 83000 TOULON
1769;0342015F; PLACE DJERBA MIDOUN;34130;MAUGUIO;4.016509822170197;43.61232907065859; PLACE DJERBA MIDOUN 34130 MAUGUIO;3.977127;43.546254;0.4241462337662337;middle;PLACE SAINT MARC;MAUGUIO;34130;34;PLACE SAINT MARC 34130 MAUGUIO
1807;0673222N; AVENUE DES VOSGES;67100;STRASBOURG;7.756673679626764;48.58823641350263; AVENUE DES VOSGES 67100 STRASBOURG;7.751323;48.58949;0.7972644155844155;middle;AVENUE DES VOSGES;STRASBOURG;67000;67;AVENUE DES VOSGES 67000 STRASBOURG
1826;0491702J;22 RUE NATIONALE;49300;CHOLET;-0.8740696563192943;47.06148015452248;22 RUE NATIONALE 49300 CHOLET;-0.874068;47.06148;0.8307345768025077;middle;22 RUE NATIONALE (CHOLET);CHOLET;49300;49;22 RUE NATIONALE (CHOLET) 49300 CHOLET
1871;0761757X; PLACE ALAIN;76151;MAROMME;1.0398143289156496;49.477774133334776; PLACE ALAIN 76151 MAROMME;1.039814;49.477774;0.7368649650349649;middle;PLACE ALAIN;MAROMME;76150;76;PLACE ALAIN 76150 MAROMME
1908;6200185G;  ;20162;AJACCIO;8.759439931839335;41.94880278114863;   20162 AJACCIO;8.715408;41.933934;0.45497636363636357;middle;AJACCIO;AJACCIO;20000;2A;AJACCIO
1921;0331466P; RUE JEAN GIONO;33700;MÉRIGNAC;-0.6483234737251388;44.85185428016866; RUE JEAN GIONO 33700 MÉRIGNAC;-0.648785;44.851973;0.9667199999999998;high;RUE JEAN GIONO;MÉRIGNAC;33700;33;RUE JEAN GIONO 33700 MÉRIGNAC
1935;0110034C;2 RUE JEAN MOULIN;11108;NARBONNE;3.0210396023946187;43.18978128979129;2 RUE JEAN MOULIN 11108 NARBONNE;2.998024;43.181974;0.4550694805194805;middle;2 RUE DE MAZAGRAN;NARBONNE;11100;11;2 RUE DE MAZAGRAN 11100 NARBONNE
1963;0620070P; ESPLANADE ALFRED PEUGNET;62211;CARVIN;2.947589960987671;50.49085621653551; ESPLANADE ALFRED PEUGNET 62211 CARVIN;-2.761244;48.507373;0.3945018181818182;low;ESPLANADE ALFRED JARRY;SAINT-BRIEUC;22000;22;ESPLANADE ALFRED JARRY 22000 SAINT-BRIEUC
1969;0782096E; RUE MERMOZ;78200;MANTES-LA-JOLIE;1.6824632933631984;49.00072775069872; RUE MERMOZ 78200 MANTES-LA-JOLIE;1.682463;49.000728;0.7575981818181818;middle;RUE JEAN MERMOZ;MANTES-LA-JOLIE;78200;78;RUE JEAN MERMOZ 78200 MANTES-LA-JOLIE
1979;0951514E; RUE JESSE OWENS;95150;TAVERNY;2.2154213196647685;49.01944328006894; RUE JESSE OWENS 95150 TAVERNY;2.215421;49.019443;0.9554045454545453;high;RUE JESSE OWENS;TAVERNY;95150;95;RUE JESSE OWENS 95150 TAVERNY
