;0
799;0
800;1
801;0
802;1
803;0
804;0
805;1
806;1
807;0
808;0
809;0
810;0
811;0
812;0
813;0
814;0
815;0
816;26
817;1
818;1
819;0
820;0
821;1
822;0
823;11
824;9
825;10
826;0
827;1
828;0
829;0
830;0
831;1
832;53
833;56
834;54
835;0
836;1
837;0
838;1
839;1
840;0
841;0
842;1
843;0
844;1
845;0
846;1
847;0
848;35
849;15
850;14
851;0
852;0
853;1
854;1
855;0
856;0
857;1
858;0
859;0
860;1
861;0
862;0
863;1
864;0
865;1
866;0
867;0
868;0
869;35
870;5
871;6
872;0
873;1
874;0
875;1
876;0
877;1
878;0
879;1
880;0
881;1
882;0
883;1
884;2
885;1
886;0
887;0
888;1
889;0
890;1
891;0
892;0
893;1
894;0
895;0
896;44
897;0
898;1
899;0
900;0
901;1
902;0
903;21
904;22
905;13
906;1
907;1
908;0
909;0
910;1
911;0
912;2
913;0
914;0
915;0
916;0
917;1
918;2
919;0
920;1
921;1
922;0
923;2
924;0
925;1
926;0
927;0
928;1
929;0
930;1
931;0
932;1
933;0
934;1
935;0
936;1
937;1
938;0
939;0
940;48
941;0
942;0
943;1
944;2
945;0
946;0
947;1
948;0
949;0
950;1
951;0
952;1
953;0
954;0
955;1
956;1
957;0
958;0
959;1
960;4
961;0
962;1
963;0
964;2
965;1
966;0
967;13
968;35
969;36
970;12
971;0
972;0
973;35
974;0
975;0
976;0
977;0
978;0
979;1
980;0
981;1
982;1
983;40
984;0
985;1
986;0
987;0
988;0
989;1
990;0
991;1
992;0
993;0
994;1
995;0
996;0
997;1
998;0
999;0
1000;1
1001;0
1002;0
1003;0
1004;1
1005;0
1006;1
1007;0
1008;0
1009;0
1010;2
1011;5
1012;20
1013;21
1014;7
1015;6
1016;0
1017;1
1018;1
1019;0
1020;0
1021;0
1022;1
1023;0
1024;1
1025;0
1026;1
1027;0
1028;1
1029;41
1030;1
1031;0
1032;1
1033;2
1034;0
1035;1
1036;0
1037;1
1038;0
1039;1
1040;0
1041;1
1042;1
1043;0
1044;2
1045;0
1046;0
1047;1
1048;0
1049;0
1050;1
1051;1
1052;0
1053;0
1054;1
1055;0
1056;1
1057;43
1058;0
1059;1
1060;1
1061;0
1062;2
1063;0
1064;0
1065;1
1066;0
1067;0
1068;1
1069;0
1070;42
1071;1
1072;43
1073;44
1074;2
1075;0
1076;0
1077;0
1078;0
1079;1
1080;0
1081;1
1082;41
1083;40
1084;0
1085;1
1086;0
1087;0
1088;1
1089;0
1090;45
1091;1
1092;43
1093;0
1094;0
1095;1
1096;0
1097;1
1098;0
1099;1
1100;0
1101;1
1102;0
1103;1
1104;0
1105;0
1106;1
1107;0
1108;1
1109;0
1110;0
1111;1
1112;0
1113;1
1114;1
1115;0
1116;1
1117;0
1118;0
1119;0
1120;1
1121;0
1122;0
1123;1
1124;1
1125;0
1126;0
1127;1
1128;0
1129;1
1130;0
1131;2
1132;1
1133;0
1134;1
1135;0
1136;0
1137;1
1138;18
1139;19
1140;10
1141;17
1142;35
1143;36
1144;0
1145;1
1146;0
1147;1
1148;0
1149;1
1150;0
1151;1
1152;0
1153;1
1154;0
1155;0
1156;1
1157;0
1158;1
1159;0
1160;1
1161;0
1162;2
1163;0
1164;1
1165;0
1166;1
1167;0
1168;1
1169;0
1170;1
1171;0
1172;0
1173;1
1174;35
1175;36
1176;0
1177;0
1178;1
1179;1
1180;0
1181;0
1182;0
1183;0
1184;1
1185;0
1186;1
1187;0
1188;1
1189;0
1190;1
1191;0
1192;1
1193;0
1194;0
1195;0
1196;1
1197;0
1198;2
1199;1
1200;0
1201;19
1202;35
1203;37
1204;20
1205;0
1206;1
1207;0
1208;1
1209;0
1210;0
1211;1
1212;0
1213;0
1214;0
1215;1
1216;1
1217;0
1218;0
1219;1
1220;0
1221;0
1222;36
1223;35
1224;0
1225;20
1226;0
1227;0
1228;1
1229;0
1230;0
1231;0
1232;35
1233;36
1234;0
1235;1
1236;0
1237;2
1238;1
1239;35
1240;36
1241;37
1242;0
1243;1
1244;0
1245;1
1246;44
1247;1
1248;0
1249;0
1250;1
1251;0
1252;1
1253;0
1254;0
1255;0
1256;0
1257;1
1258;0
1259;1
1260;0
1261;0
1262;1
1263;0
1264;0
1265;1
1266;0
1267;1
1268;0
1269;1
1270;0
1271;1
1272;0
1273;0
1274;1
1275;0
1276;1
1277;0
1278;0
1279;1
1280;0
1281;1
1282;0
1283;0
1284;0
1285;1
1286;2
1287;0
1288;2
1289;1
1290;0
1291;1
1292;1
1293;0
1294;1
1295;0
1296;0
1297;1
1298;0
1299;1
1300;0
1301;1
1302;0
1303;1
1304;0
1305;0
1306;1
1307;2
1308;0
1309;1
1310;0
1311;1
1312;0
1313;0
1314;0
1315;0
1316;1
1317;0
1318;0
1319;0
1320;1
1321;0
1322;1
1323;0
1324;1
1325;0
1326;1
1327;0
1328;49
1329;1
1330;51
1331;0
1332;0
1333;0
1334;0
1335;1
1336;0
1337;1
1338;0
1339;0
1340;1
1341;40
1342;0
1343;1
1344;0
1345;0
1346;0
1347;0
1348;62
1349;65
1350;35
1351;63
1352;0
1353;0
1354;0
1355;1
1356;0
1357;1
1358;0
1359;2
1360;0
1361;1
1362;2
1363;35
1364;0
1365;36
1366;39
1367;0
1368;2
1369;1
1370;0
1371;1
1372;0
1373;0
1374;1
1375;0
1376;1
1377;19
1378;0
1379;1
1380;0
1381;1
1382;0
1383;0
1384;1
1385;0
1386;0
1387;1
1388;1
1389;0
1390;0
1391;1
1392;0
1393;1
1394;0
1395;1
1396;0
1397;0
1398;0
1399;1
1400;0
1401;0
1402;1
1403;0
1404;1
1405;0
1406;1
1407;0
1408;0
1409;1
1410;0
1411;1
1412;0
1413;1
1414;24
1415;23
1416;0
1417;0
1418;1
1419;1
1420;0
1421;0
1422;1
1423;0
1424;1
1425;0
1426;1
1427;0
1428;1
1429;0
1430;1
1431;0
1432;0
1433;1
1434;0
1435;1
1436;0
1437;1
1438;0
1439;0
1440;40
1441;49
1442;1
1443;0
1444;0
1445;1
1446;0
1447;0
1448;1
1449;0
1450;55
1451;54
1452;0
1453;2
1454;1
1455;0
1456;1
1457;0
1458;19
1459;0
1460;1
1461;0
1462;1
1463;0
1464;1
1465;44
1466;0
1467;45
1468;0
1469;1
1470;0
1471;1
1472;0
1473;0
1474;0
1475;1
1476;0
1477;0
1478;1
1479;0
1480;1
1481;0
1482;1
1483;1
1484;0
1485;0
1486;0
1487;1
1488;0
1489;1
1490;0
1491;1
1492;0
1493;0
1494;1
1495;0
1496;1
1497;2
1498;27
1499;0
1500;0
1501;0
1502;1
1503;0
1504;1
1505;1
1506;0
1507;0
1508;0
1509;1
1510;0
1511;1
1512;36
1513;0
1514;1
1515;0
1516;1
1517;0
1518;2
1519;1
1520;0
1521;0
1522;1
1523;0
1524;0
1525;1
1526;0
1527;0
1528;1
1529;1
1530;0
1531;0
1532;0
1533;1
1534;0
1535;1
1536;0
1537;0
1538;1
1539;0
1540;0
1541;1
1542;0
1543;0
1544;0
1545;63
1546;0
1547;1
1548;64
1549;0
1550;35
1551;37
1552;1
1553;0
1554;0
1555;0
1556;1
1557;1
1558;0
1559;1
1560;4
1561;0
1562;0
1563;0
1564;1
1565;0
1566;0
1567;1
1568;17
1569;0
1570;18
1571;0
1572;0
1573;1
1574;0
1575;0
1576;1
1577;0
1578;1
1579;0
1580;0
1581;1
1582;0
1583;0
1584;1
1585;2
1586;0
1587;1
1588;40
1589;0
1590;1
1591;0
1592;0
1593;1
1594;64
1595;0
1596;1
1597;0
1598;1
1599;0
1600;1
1601;0
1602;1
1603;0
1604;1
1605;0
1606;0
1607;1
1608;0
1609;1
1610;2
1611;0
1612;1
1613;0
1614;0
1615;1
1616;0
1617;0
1618;0
1619;0
1620;1
1621;48
1622;47
1623;0
1624;0
1625;0
1626;20
1627;17
1628;18
1629;36
1630;35
1631;0
1632;1
1633;0
1634;0
1635;0
1636;0
1637;1
1638;0
1639;1
1640;0
1641;0
1642;1
1643;0
1644;0
1645;1
1646;2
1647;0
1648;0
1649;1
1650;0
1651;1
1652;0
1653;1
1654;0
1655;1
1656;1
1657;0
1658;0
1659;1
1660;0
1661;1
1662;1
1663;0
1664;0
1665;0
1666;1
1667;24
1668;23
1669;35
1670;0
1671;1
1672;19
1673;0
1674;1
1675;0
1676;1
1677;0
1678;1
1679;47
1680;0
1681;49
1682;1
1683;1
1684;0
1685;0
1686;0
1687;0
1688;1
1689;0
1690;1
1691;0
1692;1
1693;0
1694;0
1695;41
1696;0
1697;0
1698;0
1699;1
1700;1
1701;0
1702;0
1703;1
1704;0
1705;47
1706;0
1707;0
1708;1
1709;0
1710;43
1711;41
1712;1
1713;40
1714;0
1715;42
1716;0
1717;0
1718;1
1719;0
1720;1
1721;2
1722;0
1723;1
1724;0
1725;0
1726;0
1727;1
1728;1
1729;0
1730;0
1731;0
1732;2
1733;35
1734;24
1735;23
1736;0
1737;25
1738;0
1739;1
1740;0
1741;0
1742;1
1743;0
1744;0
1745;1
1746;0
1747;1
1748;0
1749;0
1750;1
1751;0
1752;0
1753;1
1754;0
1755;0
1756;1
1757;1
1758;0
1759;0
1760;0
1761;1
1762;0
1763;2
1764;1
1765;0
1766;37
1767;25
1768;36
1769;35
1770;34
1771;0
1772;1
1773;35
1774;36
1775;0
1776;0
1777;1
1778;0
1779;1
1780;1
1781;35
1782;53
1783;0
1784;52
1785;0
1786;1
1787;0
1788;1
1789;0
1790;2
1791;0
1792;0
1793;0
1794;1
1795;0
1796;1
1797;0
1798;1
1799;0
1800;1
1801;0
1802;1
1803;0
1804;0
1805;0
1806;1
1807;0
1808;0
1809;1
1810;0
1811;1
1812;0
1813;2
1814;0
1815;0
1816;0
1817;5
1818;1
1819;0
1820;0
1821;0
1822;35
1823;36
1824;0
1825;0
1826;1
1827;2
1828;0
1829;0
1830;1
1831;35
1832;36
1833;0
1834;0
1835;1
1836;0
1837;1
1838;0
1839;1
1840;1
1841;0
1842;0
1843;1
1844;0
1845;1
1846;35
1847;36
1848;0
1849;31
1850;1
1851;32
1852;0
1853;0
1854;1
1855;0
1856;0
1857;0
1858;1
1859;0
1860;1
1861;0
1862;0
1863;1
1864;0
1865;1
1866;0
1867;1
1868;0
1869;1
1870;1
1871;0
1872;0
1873;1
1874;0
1875;0
1876;1
1877;0
1878;41
1879;72
1880;70
1881;38
1882;40
1883;42
1884;39
1885;0
1886;2
1887;1
1888;85
1889;82
1890;83
1891;0
1892;1
1893;0
1894;0
1895;0
1896;1
1897;0
1898;42
1899;0
1900;1
1901;44
1902;43
1903;0
1904;0
1905;1
1906;0
1907;0
1908;1
1909;0
1910;2
1911;0
1912;0
1913;0
1914;1
1915;0
1916;1
1917;0
1918;1
1919;0
1920;0
1921;35
1922;36
1923;0
1924;0
1925;1
1926;0
1927;1
1928;0
1929;0
1930;65
1931;0
1932;1
1933;0
1934;0
1935;1
1936;0
1937;1
1938;0
1939;1
1940;35
1941;8
1942;0
1943;0
1944;36
1945;35
1946;0
1947;1
1948;0
1949;1
1950;0
1951;0
1952;0
1953;2
1954;1
1955;0
1956;0
1957;0
1958;1
1959;0
1960;1
1961;0
1962;1
1963;0
1964;5
1965;1
1966;6
1967;0
1968;1
1969;0
1970;0
1971;1
1972;1
1973;0
1974;0
1975;2
1976;1
1977;0
1978;1
1979;0
1980;0
1981;1
1982;0
1983;1
1984;16
1985;0
1986;1
1987;19
1988;10
1989;17
1990;0
1991;1
1992;0
1993;0
1994;0
1995;1
1996;0
1997;1
1998;2
1999;1
2000;0
2001;59
2002;44
2003;61
2004;0
2005;1
2006;0
2007;0
2008;0
2009;1
2010;1
2011;0
2012;0
2013;1
2014;75
2015;1
2016;0
2017;0
2018;0
2019;0
2020;1
2021;2
2022;0
2023;1
2024;1
2025;0
2026;0
2027;0
2028;1
2029;0
2030;1
2031;1
2032;0
2033;0
2034;0
2035;0
2036;0
2037;0
2038;0
2039;1
