;0
799;14
800;17
801;14
802;34
803;24
804;0
805;24
806;5
807;16
808;26
809;13
810;13
811;19
812;13
813;0
814;0
815;13
816;0
817;3
818;3
819;38
820;38
821;48
822;0
823;0
824;70
825;35
826;3
827;3
828;0
829;19
830;35
831;35
832;35
833;35
834;38
835;38
836;0
837;20
838;5
839;17
840;3
841;3
842;23
843;13
844;22
845;11
846;2
847;2
848;0
849;0
850;0
851;3
852;3
853;0
854;17
855;18
856;35
857;35
858;16
859;35
860;35
861;35
862;0
863;0
864;20
865;35
866;35
867;40
868;35
869;35
870;3
871;3
872;18
873;11
874;37
875;37
876;11
877;13
878;35
879;35
880;0
881;5
882;0
883;35
884;19
885;22
886;2
887;13
888;10
889;15
890;14
891;0
892;0
893;5
894;0
895;0
896;35
897;35
898;13
899;24
900;52
901;0
902;5
903;0
904;0
905;3
906;10
907;18
908;35
909;35
910;47
911;35
912;40
913;18
914;3
915;18
916;24
917;0
918;0
919;0
920;0
921;35
922;35
923;35
924;30
925;14
926;35
927;0
928;5
929;35
930;35
931;60
932;3
933;18
934;35
935;18
936;0
937;0
938;35
939;16
940;35
941;20
942;7
943;1
944;17
945;17
946;0
947;4
948;4
949;13
950;0
951;5
952;22
953;17
954;23
955;13
956;3
957;3
958;35
959;2
960;13
961;35
962;12
963;20
964;11
965;2
966;2
967;35
968;35
969;13
970;3
971;3
972;44
973;0
974;0
975;18
976;35
977;35
978;70
979;49
980;35
981;22
982;14
983;35
984;22
985;35
986;17
987;0
988;12
989;19
990;17
991;22
992;35
993;3
994;3
995;2
996;2
997;26
998;35
999;35
1000;10
1001;10
1002;3
1003;0
1004;5
1005;17
1006;13
1007;17
1008;0
1009;0
1010;35
1011;35
1012;11
1013;11
1014;13
1015;20
1016;35
1017;15
1018;15
1019;18
1020;35
1021;35
1022;0
1023;3
1024;3
1025;0
1026;0
1027;35
1028;0
1029;11
1030;5
1031;35
1032;35
1033;35
1034;35
1035;0
1036;5
1037;35
1038;3
1039;3
1040;25
1041;0
1042;35
1043;35
1044;53
1045;18
1046;14
1047;51
1048;35
1049;11
1050;35
1051;11
1052;20
1053;0
1054;20
1055;27
1056;0
1057;5
1058;0
1059;0
1060;35
1061;46
1062;23
1063;14
1064;0
1065;9
1066;17
1067;26
1068;0
1069;53
1070;5
1071;18
1072;15
1073;3
1074;3
1075;48
1076;0
1077;0
1078;26
1079;21
1080;0
1081;35
1082;22
1083;3
1084;3
1085;13
1086;25
1087;4
1088;4
1089;0
1090;0
1091;35
1092;11
1093;22
1094;23
1095;35
1096;35
1097;50
1098;55
1099;15
1100;11
1101;35
1102;16
1103;19
1104;74
1105;0
1106;5
1107;3
1108;3
1109;0
1110;0
1111;24
1112;0
1113;5
1114;4
1115;3
1116;35
1117;17
1118;20
1119;35
1120;3
1121;3
1122;35
1123;9
1124;46
1125;13
1126;12
1127;0
1128;16
1129;3
1130;3
1131;35
1132;15
1133;20
1134;0
1135;35
1136;19
1137;20
1138;16
1139;35
1140;52
1141;18
1142;0
1143;0
1144;70
1145;3
1146;3
1147;19
1148;3
1149;0
1150;5
1151;2
1152;2
1153;0
1154;5
1155;18
1156;35
1157;28
1158;11
1159;3
1160;3
1161;0
1162;5
1163;3
1164;3
1165;35
1166;17
1167;0
1168;5
1169;45
1170;14
1171;20
1172;0
1173;5
1174;3
1175;3
1176;20
1177;0
1178;5
1179;14
1180;2
1181;2
1182;35
1183;35
1184;55
1185;61
1186;0
1187;0
1188;35
1189;16
1190;35
1191;16
1192;35
1193;35
1194;70
1195;22
1196;2
1197;2
1198;22
1199;0
1200;5
1201;35
1202;35
1203;0
1204;0
1205;19
1206;15
1207;0
1208;5
1209;3
1210;3
1211;14
1212;0
1213;0
1214;35
1215;13
1216;15
1217;35
1218;12
1219;22
1220;42
1221;20
1222;11
1223;35
1224;0
1225;0
1226;0
1227;5
1228;3
1229;3
1230;35
1231;17
1232;50
1233;15
1234;19
1235;35
1236;70
1237;0
1238;0
1239;0
1240;35
1241;3
1242;21
1243;22
1244;15
1245;35
1246;35
1247;35
1248;35
1249;0
1250;5
1251;35
1252;13
1253;22
1254;0
1255;16
1256;35
1257;0
1258;2
1259;2
1260;0
1261;5
1262;60
1263;17
1264;14
1265;35
1266;0
1267;0
1268;35
1269;17
1270;0
1271;13
1272;17
1273;35
1274;35
1275;21
1276;14
1277;35
1278;25
1279;35
1280;22
1281;14
1282;19
1283;19
1284;2
1285;2
1286;35
1287;2
1288;2
1289;3
1290;3
1291;2
1292;2
1293;3
1294;3
1295;0
1296;5
1297;9
1298;0
1299;0
1300;35
1301;35
1302;17
1303;35
1304;2
1305;12
1306;35
1307;15
1308;10
1309;0
1310;0
1311;15
1312;2
1313;2
1314;0
1315;21
1316;15
1317;2
1318;32
1319;18
1320;35
1321;35
1322;18
1323;18
1324;22
1325;0
1326;5
1327;17
1328;35
1329;35
1330;56
1331;4
1332;14
1333;3
1334;35
1335;18
1336;35
1337;3
1338;3
1339;51
1340;2
1341;2
1342;20
1343;17
1344;9
1345;14
1346;0
1347;0
1348;17
1349;3
1350;3
1351;35
1352;35
1353;22
1354;8
1355;14
1356;35
1357;0
1358;5
1359;0
1360;17
1361;3
1362;3
1363;28
1364;15
1365;35
1366;35
1367;61
1368;6
1369;13
1370;52
1371;35
1372;2
1373;2
1374;15
1375;14
1376;36
1377;16
1378;17
1379;37
1380;0
1381;37
1382;5
1383;21
1384;8
1385;35
1386;35
1387;35
1388;35
1389;46
1390;40
1391;18
1392;0
1393;0
1394;0
1395;0
1396;5
1397;0
1398;5
1399;22
1400;35
1401;12
1402;14
1403;39
1404;35
1405;16
1406;13
1407;0
1408;5
1409;20
1410;9
1411;35
1412;40
1413;52
1414;58
1415;35
1416;35
1417;0
1418;35
1419;3
1420;3
1421;14
1422;21
1423;11
1424;0
1425;20
1426;3
1427;3
1428;35
1429;11
1430;12
1431;0
1432;5
1433;0
1434;23
1435;11
1436;8
1437;0
1438;0
1439;12
1440;35
1441;41
1442;18
1443;35
1444;35
1445;0
1446;0
1447;35
1448;21
1449;35
1450;40
1451;41
1452;0
1453;5
1454;19
1455;0
1456;5
1457;52
1458;35
1459;2
1460;13
1461;0
1462;0
1463;21
1464;48
1465;16
1466;15
1467;0
1468;12
1469;14
1470;11
1471;73
1472;16
1473;21
1474;35
1475;46
1476;22
1477;2
1478;2
1479;23
1480;0
1481;37
1482;37
1483;20
1484;19
1485;18
1486;0
1487;12
1488;35
1489;0
1490;11
1491;5
1492;35
1493;14
1494;84
1495;35
1496;15
1497;0
